               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087605,            0.031147,             0.11315,           0.0033855,             0.69599,            0.012614,           0.0056292,            0.044569,            0.014005,             0.09168,            0.070698,           0.0032558,           0.0032558
                   1,            0.056179,            0.024152,             0.10537,            0.003453,             0.81973,            0.011908,           0.0059939,            0.044755,           0.0094336,            0.086774,            0.040632,           0.0065239,           0.0065239
                   2,            0.049598,             0.02056,             0.10373,           0.0039979,             0.86413,            0.014522,           0.0070323,            0.040194,           0.0095296,            0.084752,            0.010501,            0.009726,            0.009726
                   3,            0.047221,            0.019975,             0.10283,           0.0042997,              0.8524,            0.019313,           0.0087007,            0.037249,           0.0091555,            0.083253,            0.009703,            0.009703,            0.009703
                   4,             0.04456,            0.019267,             0.10043,           0.0055123,             0.90985,            0.023059,            0.013059,            0.032146,           0.0094078,            0.082283,            0.009703,            0.009703,            0.009703
                   5,            0.043883,            0.018793,             0.10082,           0.0048633,             0.82319,            0.022491,             0.01193,            0.035372,           0.0098196,             0.08152,            0.009604,            0.009604,            0.009604
                   6,             0.04379,            0.019015,             0.10091,           0.0054162,             0.90231,            0.030158,             0.01652,             0.03013,           0.0096491,            0.080955,            0.009505,            0.009505,            0.009505
                   7,             0.04102,            0.019103,            0.099355,           0.0062263,             0.83882,            0.028678,            0.016313,              0.0319,           0.0095375,            0.081006,            0.009406,            0.009406,            0.009406
                   8,            0.039938,            0.018314,             0.09878,           0.0060059,             0.90261,            0.034786,            0.020099,            0.031829,           0.0094321,            0.079431,            0.009307,            0.009307,            0.009307
                   9,            0.039271,            0.018305,            0.097685,             0.91979,            0.015999,            0.041714,            0.025105,            0.031859,           0.0093226,            0.077781,            0.009208,            0.009208,            0.009208
                  10,            0.040781,            0.018759,            0.097188,           0.0066327,             0.95259,            0.045586,            0.026767,            0.027291,           0.0080026,            0.075441,            0.009109,            0.009109,            0.009109
                  11,            0.040008,            0.018344,            0.096093,            0.006474,             0.95153,             0.05191,            0.030084,            0.028817,           0.0083905,            0.073842,             0.00901,             0.00901,             0.00901
                  12,            0.037447,            0.017493,            0.095947,             0.93143,            0.022728,            0.063003,             0.04012,            0.030071,           0.0083474,            0.073597,            0.008911,            0.008911,            0.008911
